d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	Trait_1rate_lnL	Trait_1rate_d	Trait_1rate_e	Trait_1rate_j	Trait_1rate_t12	Trait_1rate_t21	Trait_1rate_m1	Trait_1rate_m2	Trait_2rates_lnL	Trait_2rates_d	Trait_2rates_e	Trait_2rates_j	Trait_2rates_t12	Trait_2rates_t21	Trait_2rates_m1	Trait_2rates_m2	DEC_lnL	DEC_d	DEC_e	DEC_j	DEC_t12	DEC_t21	DEC_m1	DEC_m2	DECj_lnL	DECj_d	DECj_e	DECj_j	DECj_t12	DECj_t21	DECj_m1	DECj_m2	DEC_t12_t21_m2_lnL	DEC_t12_t21_m2_d	DEC_t12_t21_m2_e	DEC_t12_t21_m2_j	DEC_t12_t21_m2_t12	DEC_t12_t21_m2_t21	DEC_t12_t21_m2_m1	DEC_t12_t21_m2_m2	DECj_t12_t21_m2_lnL	DECj_t12_t21_m2_d	DECj_t12_t21_m2_e	DECj_t12_t21_m2_j	DECj_t12_t21_m2_t12	DECj_t12_t21_m2_t21	DECj_t12_t21_m2_m1	DECj_t12_t21_m2_m2	DECj_t12_t21_m2_rep2_lnL	DECj_t12_t21_m2_rep2_d	DECj_t12_t21_m2_rep2_e	DECj_t12_t21_m2_rep2_j	DECj_t12_t21_m2_rep2_t12	DECj_t12_t21_m2_rep2_t21	DECj_t12_t21_m2_rep2_m1	DECj_t12_t21_m2_rep2_m2	DEC_noM_lnL	DEC_noM_d	DEC_noM_e	DEC_noM_j	DEC_noM_t12	DEC_noM_t21	DEC_noM_m1	DEC_noM_m2	DECj_noM_lnL	DECj_noM_d	DECj_noM_e	DECj_noM_j	DECj_noM_t12	DECj_noM_t21	DECj_noM_m1	DECj_noM_m2
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-22.2601116051512	0	0	0	0.0119495727965422	0.0119495727965422	1	1	-22.2516172257206	0	0	0	0.0124503812132502	0.0114050888663645	1	1	-102.294334299899	0.00947824049218857	1e-12	0	NA	NA	NA	NA	-95.2634079580093	0.00700304945739817	1e-12	0.0929042981864574	NA	NA	NA	NA	-123.74038083168	0.0122620673996815	1e-12	0	0.0124509646743748	0.0109240137906528	1	0.547434561322752	-115.183534232172	0.0101054882163401	1e-13	0.209731070857865	0.0127197197106619	0.0107797943809191	1	0.312242304983509	-115.183511101958	0.0101131260680718	1e-13	0.208376235126661	0.0127210547560518	0.0107782569465251	1	0.311736808205472	-124.545952014818	0.00947836747812057	1e-12	0	0.0124484627342485	0.0114050123692075	1	1	-117.515017195939	0.00700416335598746	1e-12	0.0927569158360768	0.0124484024350619	0.0114058828370427	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-16.9985580504239	0	0	0	0.00655490892796263	0.00655490892796263	1	1	-15.1075118674303	0	0	0	0.010363648839703	1e-05	1	1	-104.126398852427	0.00797981325177797	1e-12	0	NA	NA	NA	NA	-99.2691349231872	0.00641044531385234	1e-12	0.0559513318457579	NA	NA	NA	NA	-118.363536889595	0.010180982705968	1e-12	0	0.0103107440744498	1e-05	1	0.577850472051052	-113.100311212823	0.00856997967663195	1e-13	0.0876762246661888	0.0101175535288928	1e-05	1	0.50037741569454	-113.100167755728	0.00856964585898526	1e-13	0.0884626341114508	0.0101403791456087	1e-05	1	0.498830214583806	-119.233910946319	0.00798068546014611	1e-12	0	0.0103636297645793	1e-05	1	1	-114.376648207217	0.00640963853600625	1e-12	0.0559326081705465	0.0103634976901144	9.99999999999959e-06	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-17.775804378677	0	0	0	0.0115022804370701	0.0115022804370701	1	1	-17.5768282296082	0	0	0	0.00313655048388049	0.0174606899243158	1	1	-97.2070811738293	0.0106984586055454	1e-12	0	NA	NA	NA	NA	-93.7484880029472	0.00921444145311312	1e-12	0.0325159104002778	NA	NA	NA	NA	-113.715899258082	0.0145740708029674	1e-12	0	0.00790315502476943	0.0151434195012467	1	0.446487600161473	-110.164222505676	0.0130990793526376	1e-13	0.0455626662546198	0.00512853173045363	0.0158887035179269	1	0.435431934538236	-110.164235842985	0.0130871867787877	1e-13	0.0455060876293836	0.00512304875727581	0.0158863119942459	1	0.436937363958617	-114.783910882474	0.0106977820377882	1e-12	0	0.00313165530948734	0.0174637070299864	1	1	-111.325317328355	0.00921565310033674	1e-12	0.0325073471925817	0.00313548336180046	0.017461829529664	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-23.6561636030391	0	0	0	0.0107233095174057	0.0107233095174057	1	1	-23.1439370812134	0	0	0	0.0218016368955012	0.0101627525776061	1	1	-104.241191467393	0.00897816185132565	0.00146142461157781	0	NA	NA	NA	NA	-95.9973846781957	0.00645642249671751	1e-12	0.0760605532358445	NA	NA	NA	NA	-127.090254866596	0.00684800051673287	0.00142580297927588	0	0.0211858621865105	0.0100607032589222	1	1.43666471786021	-118.933395180212	0.00502365112233793	1e-13	0.0572995292188162	0.021442812831465	0.00992749055529047	1	1.40759618995379	-118.933169744341	0.0049442790414171	1e-13	0.056402067684595	0.0214026409614237	0.00991614544451517	1	1.43740070261778	-127.385129392219	0.00897890463588361	0.0014617115470991	0	0.0217933248756766	0.0101604812233859	1	1	-119.141323196191	0.00645644751811444	1e-12	0.0760557110588557	0.0217851073805184	0.0101560221681207	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-13.949664437782	0	0	0	0.00376112257784522	0.00376112257784522	1	1	-12.4508005702475	0	0	0	1e-05	0.006416354051452	1	1	-109.779012059959	0.00994526127008168	1e-12	0	NA	NA	NA	NA	-104.848840649532	0.00849956895064189	1e-12	0.0535626369181202	NA	NA	NA	NA	-120.143316008347	0.0140195739803029	1e-12	0	1e-05	0.0064139699837972	1	0.460605371925488	-114.160093647145	0.0126967161057478	1e-13	0.109179906714495	1e-05	0.0064236904151751	1	0.366762644205618	-114.160089889212	0.012699678604216	1e-13	0.108992789252493	1e-05	0.00642554756883283	1	0.366831859806946	-122.229813549254	0.00994452135844451	1e-12	0	1e-05	0.00641558644479857	1	1	-117.299642046901	0.00850029021611691	1e-12	0.0536060533517438	1e-05	0.00641615079268468	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-15.7238622386151	0	0	0	0.00764689762031056	0.00764689762031056	1	1	-14.9678383260844	0	0	0	1e-05	0.0101907614421884	1	1	-92.3431876848762	0.00708075767560554	1e-12	0	NA	NA	NA	NA	-87.7593069305153	0.00530748205102782	1e-12	0.0535219927631652	NA	NA	NA	NA	-105.584187496527	0.0111916463540309	1e-12	0	1e-05	0.0100628478621074	1	0.403236079997711	-100.995448245486	0.00847016104062788	1e-13	0.0891995426134621	1e-05	0.00993138830493959	1	0.396780992367929	-100.993579399595	0.00839376599280884	1e-13	0.0904668735520769	1e-05	0.0100914959988222	1	0.403095700023315	-107.311026852606	0.00708189161001444	1e-12	0	1e-05	0.0101916160135905	1	1	-102.72714602108	0.00530729448119764	1e-12	0.0535013455300679	1e-05	0.010194286356214	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-24.6925748938789	0	0	0	0.0137448761323417	0.0137448761323417	1	1	-23.9303797407532	0	0	0	0.0214583054593375	0.00935900242051226	1	1	-112.251316061518	0.0107903235437936	1e-12	0	NA	NA	NA	NA	-97.85233087406	0.00734311495907663	1e-12	0.124135388739785	NA	NA	NA	NA	-135.774611686654	0.0136610146706992	1e-12	0	0.021462089675405	0.00870254771374859	1	0.643050250317786	-121.178882703554	0.0100623034214762	1e-13	0.190785752475235	0.0213030792521664	0.00852673402905479	1	0.538917673034359	-121.178586756628	0.0100978060213947	1e-13	0.191683084758071	0.0212475810755904	0.00854410602664759	1	0.534783833254148	-136.181695825145	0.0107878182034473	1e-12	0	0.021452487228068	0.00936104783010245	1	1	-121.782702143176	0.00734082378003016	1e-12	0.124451216850464	0.0214612374708776	0.00936617947404013	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-22.447300582266	0	0	0	0.00964762770860201	0.00964762770860201	1	1	-22.4432183394467	0	0	0	0.0102110703263459	0.00942857282315011	1	1	-93.2162215451768	0.00778372469934323	1e-12	0	NA	NA	NA	NA	-90.4960173669951	0.00669503858309302	1e-12	0.0250110129845334	NA	NA	NA	NA	-115.22249949696	0.0100772749525753	1e-12	0	0.0109711144866807	0.00946707667448557	1	0.614289462004734	-111.877842516668	0.00978615303970048	1e-13	0.0495176364807782	0.0106075755561948	0.00963277541971252	1	0.445287332254623	-111.877353423544	0.00971739867404677	1e-13	0.0491101406767656	0.0106076748898998	0.00962966809658355	1	0.453408959421916	-115.65944068805	0.00778327184622856	1e-12	0	0.0102126722621136	0.0094291906410976	1	1	-112.93923684111	0.00669423858666573	1e-12	0.025026438803177	0.010219368653985	0.00943264261529913	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-17.6294583392621	0	0	0	0.0073247583910317	0.0073247583910317	1	1	-16.8769607564935	0	0	0	9.99999999999959e-06	0.00755258136432794	1	1	-96.1976279511973	0.0088369500246819	1e-12	0	NA	NA	NA	NA	-92.5811651017709	0.00748125373648722	1e-12	0.0365033365346588	NA	NA	NA	NA	-112.992396439976	0.0075900456230902	1e-12	0	1e-05	0.00754831729334682	1	1.22758537452181	-109.280900242825	0.00584339353373746	1e-13	0.0294925443804378	1e-05	0.00754512075349308	1	1.38634483732543	-109.300630275544	0.00642466636838044	1e-13	0.0319920609142724	1e-05	0.00755048922667985	1	1.22695732161485	-113.074588929142	0.00883594454019516	1e-12	0	9.99999999999959e-06	0.00755151782403014	1	1	-109.458126202038	0.00748091873675273	1e-12	0.0365348025076322	1e-05	0.00755129189557523	1	1
0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	-21.5930168413508	0	0	0	0.00892666643650223	0.00892666643650223	1	1	-21.2554330102997	0	0	0	9.99999999999959e-06	0.00852409842224136	1	1	-111.558239179016	0.0104056906267638	0.00284768190695512	0	NA	NA	NA	NA	-95.9884074755511	0.00591818528753346	1e-12	0.137164534357591	NA	NA	NA	NA	-132.787361580035	0.0117223446781898	0.00290820031874582	0	1e-05	0.00853317776424005	1	0.861801878978171	-117.158279366146	0.00676357345127192	1e-13	0.157948057569203	1e-05	0.0085444793527467	1	0.843007664167104	-117.156264013848	0.00681340847888756	1e-13	0.161762074462385	1e-05	0.00853919198814452	1	0.83411902811751	-132.813670798862	0.0104073402646967	0.00285802306801936	0	1e-05	0.00852417210464812	1	1	-117.243840591788	0.00591960638515145	1e-12	0.137192005241163	1e-05	0.00852409978416392	1	1
