param_iter	simnum	simcount	seed	d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	nsp_sim	tree_ht_sim	tree_len_sim	nsp_obs	tree_ht_obs	tree_len_obs	time_spent_in_trait1	time_spent_in_trait2	total_time	pct_spent_in_trait1	pct_spent_in_trait2	sim_t12	sim_t21	sim_d_t1	sim_d_t2	sim_e_t1	sim_e_t2	sim_a_t1	sim_a_t2	obs_t12	obs_t21	obs_d_t1	obs_d_t2	obs_e_t1	obs_e_t2	obs_a_t1	obs_a_t2	sim_j_t1	sim_j_t2	sim_y_t1	sim_y_t2	sim_s_t1	sim_s_t2	sim_v_t1	sim_v_t2	obs_j_t1	obs_j_t2	obs_y_t1	obs_y_t2	obs_s_t1	obs_s_t2	obs_v_t1	obs_v_t2
1	1	1	592230786	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	67.1202730867629	1023.89535144423	50	67.1202730867629	1023.89535144423	433.986759447558	589.908591996677	1023.89535144423	42.4	57.6	3	7	15	8	0	0	0	0	3	7	15	8	0	0	0	0	4	7	7	16	5	4	2	4	4	7	7	16	5	4	2	4
1	2	2	592230787	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	72.9392714436858	1114.54076166519	50	72.9392714436858	1114.54076166519	466.296637006507	648.244124658685	1114.54076166519	41.8	58.2	3	3	14	8	0	0	0	0	3	3	14	8	0	0	0	0	5	5	9	21	1	4	3	1	5	5	9	21	1	4	3	1
1	3	3	592230788	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	67.5463465454266	925.600008582056	50	67.5463465454266	925.600008582056	521.806833940541	403.793174641515	925.600008582056	56.4	43.6	5	9	19	6	0	0	0	0	5	9	19	6	0	0	0	0	6	3	13	16	6	0	3	2	6	3	13	16	6	0	3	2
1	4	4	592230789	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	67.6552604445715	1128.11556087915	50	67.6552604445715	1128.11556087915	325.988311414317	802.127249464832	1128.11556087915	28.9	71.1	4	7	10	15	0	0	0	0	4	7	10	15	0	0	0	0	1	9	2	26	2	3	4	2	1	9	2	26	2	3	4	2
1	5	5	592230790	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	76.0870118526052	1178.98368643434	50	76.0870118526052	1178.98368643434	585.250443862462	593.733242571874	1178.98368643434	49.6	50.4	3	7	19	9	0	0	0	0	3	7	19	9	0	0	0	0	8	7	11	16	2	2	2	1	8	7	11	16	2	2	2	1
1	6	6	592230791	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	73.7214270402738	992.452329468311	50	73.7214270402738	992.452329468311	441.84541228116	550.60691718715	992.452329468311	44.5	55.5	1	7	10	6	0	0	0	0	1	7	10	6	0	0	0	0	5	7	7	19	7	1	2	1	5	7	7	19	7	1	2	1
1	7	7	592230792	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	71.1215632538538	965.497811627461	50	71.1215632538538	965.497811627461	313.511651559701	651.98616006776	965.497811627461	32.5	67.5	1	8	6	16	0	0	0	0	1	8	6	16	0	0	0	0	3	10	4	17	1	9	2	3	3	10	4	17	1	9	2	3
1	8	8	592230793	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	75.5981009286163	1015.47716617376	50	75.5981009286163	1015.47716617376	432.850224451522	582.626941722236	1015.47716617376	42.6	57.4	3	6	13	8	0	0	0	0	3	6	13	8	0	0	0	0	4	4	8	24	4	2	1	2	4	4	8	24	4	2	1	2
1	9	9	592230794	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	89.3256801616225	1129.63740900835	50	89.3256801616225	1129.63740900835	390.21876677309	739.418642235259	1129.63740900835	34.5	65.5	0	6	8	16	0	0	0	0	0	6	8	16	0	0	0	0	1	6	10	22	3	5	0	2	1	6	10	22	3	5	0	2
1	10	10	592230795	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	61.3188380789288	1034.20001231263	50	61.3188380789288	1034.20001231263	237.21307269684	796.986939615792	1034.20001231263	22.9	77.1	1	9	2	16	0	0	0	0	1	9	2	16	0	0	0	0	3	11	3	24	2	3	0	3	3	11	3	24	2	3	0	3
